Binance Pair,Currency,Market,Last Update
BTCUSDT,BTC,USDT,2024-12-13
ETHUSDT,ETH,USDT,
XRPUSDT,XRP,USDT,
BCHUSDT,BCH,USDT,
LTCUSDT,LTC,USDT,
BNBUSDT,BNB,USDT,
ETHBTC,ETH,BTC,
BNBBTC,BNB,BTC,
LTCBTC,LTC,BTC,
ADAUSDT,ADA,USDT,
BATUSDT,BAT,USDT,
ETCUSDT,ETC,USDT,
XLMUSDT,XLM,USDT,
ZRXUSDT,ZRX,USDT,
DOGEUSDT,DOGE,USDT,
ATOMUSDT,ATOM,USDT,
NEOUSDT,NEO,USDT,
VETUSDT,VET,USDT,
QTUMUSDT,QTUM,USDT,
ONTUSDT,ONT,USDT,
ADABTC,ADA,BTC,
KNCUSDT,KNC,USDT,
VTHOUSDT,VTHO,USDT,
COMPUSDT,COMP,USDT,
MKRUSDT,MKR,USDT,
ONEUSDT,ONE,USDT,
BANDUSDT,BAND,USDT,
STORJUSDT,STORJ,USDT,
UNIUSDT,UNI,USDT,
SOLUSDT,SOL,USDT,
LINKBTC,LINK,BTC,
EGLDUSDT,EGLD,USDT,
PAXGUSDT,PAXG,USDT,
OXTUSDT,OXT,USDT,
ZENUSDT,ZEN,USDT,
FILUSDT,FIL,USDT,
AAVEUSDT,AAVE,USDT,
GRTUSDT,GRT,USDT,
SHIBUSDT,SHIB,USDT,
CRVUSDT,CRV,USDT,
AXSUSDT,AXS,USDT,
SOLBTC,SOL,BTC,
AVAXUSDT,AVAX,USDT,
CTSIUSDT,CTSI,USDT,
DOTUSDT,DOT,USDT,
YFIUSDT,YFI,USDT,
1INCHUSDT,1INCH,USDT,
FTMUSDT,FTM,USDT,
USDCUSDT,USDC,USDT,
MATICUSDT,MATIC,USDT,
MANAUSDT,MANA,USDT,
ALGOUSDT,ALGO,USDT,
LINKUSDT,LINK,USDT,
EOSUSDT,EOS,USDT,
ZECUSDT,ZEC,USDT,
ENJUSDT,ENJ,USDT,
NEARUSDT,NEAR,USDT,
SUSHIUSDT,SUSHI,USDT,
LRCUSDT,LRC,USDT,
LPTUSDT,LPT,USDT,
MATICBTC,MATIC,BTC,
NMRUSDT,NMR,USDT,
SLPUSDT,SLP,USDT,
CHZUSDT,CHZ,USDT,
OGNUSDT,OGN,USDT,
GALAUSDT,GALA,USDT,
TLMUSDT,TLM,USDT,
SNXUSDT,SNX,USDT,
AUDIOUSDT,AUDIO,USDT,
ENSUSDT,ENS,USDT,
AVAXBTC,AVAX,BTC,
