Ticker,Company,Index Fund,Currency,Currency_Name,Last Update
MMM,3M,US S&P 500,USD,US Dollar,2024-12-13
AOS,A. O. Smith,US S&P 500,USD,US Dollar,
ABT,Abbott Laboratories,US S&P 500,USD,US Dollar,
ABBV,AbbVie,US S&P 500,USD,US Dollar,
ACN,Accenture,US S&P 500,USD,US Dollar,
ADBE,Adobe Inc.,US S&P 500,USD,US Dollar,
AMD,Advanced Micro Devices,US S&P 500,USD,US Dollar,
AES,AES Corporation,US S&P 500,USD,US Dollar,
AFL,Aflac,US S&P 500,USD,US Dollar,
A,Agilent Technologies,US S&P 500,USD,US Dollar,
APD,Air Products,US S&P 500,USD,US Dollar,
ABNB,Airbnb,US S&P 500,USD,US Dollar,
AKAM,Akamai Technologies,US S&P 500,USD,US Dollar,
ALB,Albemarle Corporation,US S&P 500,USD,US Dollar,
ARE,Alexandria Real Estate Equities,US S&P 500,USD,US Dollar,
ALGN,Align Technology,US S&P 500,USD,US Dollar,
ALLE,Allegion,US S&P 500,USD,US Dollar,
LNT,Alliant Energy,US S&P 500,USD,US Dollar,
ALL,Allstate,US S&P 500,USD,US Dollar,
GOOGL,Alphabet Inc. (Class A),US S&P 500,USD,US Dollar,
GOOG,Alphabet Inc. (Class C),US S&P 500,USD,US Dollar,
MO,Altria,US S&P 500,USD,US Dollar,
AMZN,Amazon,US S&P 500,USD,US Dollar,
AMCR,Amcor,US S&P 500,USD,US Dollar,
AMTM,Amentum,US S&P 500,USD,US Dollar,
AEE,Ameren,US S&P 500,USD,US Dollar,
AEP,American Electric Power,US S&P 500,USD,US Dollar,
AXP,American Express,US S&P 500,USD,US Dollar,
AIG,American International Group,US S&P 500,USD,US Dollar,
AMT,American Tower,US S&P 500,USD,US Dollar,
AWK,American Water Works,US S&P 500,USD,US Dollar,
AMP,Ameriprise Financial,US S&P 500,USD,US Dollar,
AME,Ametek,US S&P 500,USD,US Dollar,
AMGN,Amgen,US S&P 500,USD,US Dollar,
APH,Amphenol,US S&P 500,USD,US Dollar,
ADI,Analog Devices,US S&P 500,USD,US Dollar,
ANSS,Ansys,US S&P 500,USD,US Dollar,
AON,Aon,US S&P 500,USD,US Dollar,
APA,APA Corporation,US S&P 500,USD,US Dollar,
AAPL,Apple Inc.,US S&P 500,USD,US Dollar,
AMAT,Applied Materials,US S&P 500,USD,US Dollar,
APTV,Aptiv,US S&P 500,USD,US Dollar,
